Lake 1,Lake 2,CCM From,CCM To,E,LibSize,rho
Lake Superior,Red Lake,Red Lake,Lake Superior,2,60.0,0.11021391350611578
Lake Superior,Red Lake,Red Lake,Lake Superior,2,80.0,0.09114715781963084
Lake Superior,Red Lake,Red Lake,Lake Superior,2,100.0,0.08698156780473361
Lake Superior,Red Lake,Red Lake,Lake Superior,2,120.0,0.058373568541489805
Lake Superior,Red Lake,Red Lake,Lake Superior,2,140.0,0.04271002623367285
Lake Superior,Red Lake,Red Lake,Lake Superior,2,160.0,0.05791040153550271
Lake Superior,Red Lake,Red Lake,Lake Superior,2,180.0,0.060400831372384035
Lake Superior,Red Lake,Red Lake,Lake Superior,2,200.0,0.0727058148018127
Lake Superior,Red Lake,Red Lake,Lake Superior,2,220.0,0.04319301688411451
Lake Superior,Red Lake,Lake Superior,Red Lake,2,20.0,0.16246297553476954
Lake Superior,Red Lake,Lake Superior,Red Lake,2,40.0,0.20272522290333406
Lake Superior,Red Lake,Lake Superior,Red Lake,2,60.0,0.24759799006673616
Lake Superior,Red Lake,Lake Superior,Red Lake,2,80.0,0.2601387515038375
Lake Superior,Red Lake,Lake Superior,Red Lake,2,100.0,0.29084415705947675
Lake Superior,Red Lake,Lake Superior,Red Lake,2,120.0,0.3044384675948369
Lake Superior,Red Lake,Lake Superior,Red Lake,2,140.0,0.31698951112121637
Lake Superior,Red Lake,Lake Superior,Red Lake,2,160.0,0.3347722992984152
Lake Superior,Red Lake,Lake Superior,Red Lake,2,180.0,0.33463273629742823
Lake Superior,Red Lake,Lake Superior,Red Lake,2,200.0,0.35299397802942334
Lake Superior,Red Lake,Lake Superior,Red Lake,2,220.0,0.35946807339665326
Lake Superior,Lake Tahoe,Lake Tahoe,Lake Superior,2,20.0,0.11323417426252753
Lake Superior,Lake Tahoe,Lake Tahoe,Lake Superior,2,40.0,0.1097020944026638
Lake Superior,Lake Tahoe,Lake Tahoe,Lake Superior,2,60.0,0.15585800409287576
Lake Superior,Lake Tahoe,Lake Tahoe,Lake Superior,2,80.0,0.13889134127573557
Lake Superior,Lake Tahoe,Lake Tahoe,Lake Superior,2,100.0,0.1440504735870925
Lake Superior,Lake Tahoe,Lake Tahoe,Lake Superior,2,120.0,0.1559087988746961
Lake Superior,Lake Tahoe,Lake Tahoe,Lake Superior,2,140.0,0.16618004674132417
Lake Superior,Lake Tahoe,Lake Tahoe,Lake Superior,2,160.0,0.16877079712555593
Lake Superior,Lake Tahoe,Lake Tahoe,Lake Superior,2,180.0,0.1724085859463976
Lake Superior,Lake Tahoe,Lake Tahoe,Lake Superior,2,200.0,0.18364465412971015
Lake Superior,Lake Tahoe,Lake Tahoe,Lake Superior,2,220.0,0.18589352007478463
Lake Superior,Lake Tahoe,Lake Superior,Lake Tahoe,2,20.0,0.2357064769251386
Lake Superior,Lake Tahoe,Lake Superior,Lake Tahoe,2,40.0,0.3098305333080361
Lake Superior,Lake Tahoe,Lake Superior,Lake Tahoe,2,60.0,0.30596942776026553
Lake Superior,Lake Tahoe,Lake Superior,Lake Tahoe,2,80.0,0.3326656877528873
Lake Superior,Lake Tahoe,Lake Superior,Lake Tahoe,2,100.0,0.33783534098676177
Lake Superior,Lake Tahoe,Lake Superior,Lake Tahoe,2,120.0,0.3384508014504797
Lake Superior,Lake Tahoe,Lake Superior,Lake Tahoe,2,140.0,0.3432155248497871
Lake Superior,Lake Tahoe,Lake Superior,Lake Tahoe,2,160.0,0.35112832907291364
Lake Superior,Lake Tahoe,Lake Superior,Lake Tahoe,2,180.0,0.35688212154091686
Lake Superior,Lake Tahoe,Lake Superior,Lake Tahoe,2,200.0,0.35661084010137245
Lake Superior,Lake Tahoe,Lake Superior,Lake Tahoe,2,220.0,0.36048232768247035
Lake Huron,Lake Michigan,Lake Michigan,Lake Huron,2,20.0,0.9806742945401649
Lake Huron,Lake Michigan,Lake Michigan,Lake Huron,2,40.0,0.987091529917388
Lake Huron,Lake Michigan,Lake Michigan,Lake Huron,2,60.0,0.9926304126392269
Lake Huron,Lake Michigan,Lake Michigan,Lake Huron,2,80.0,0.9935698811561874
Lake Huron,Lake Michigan,Lake Michigan,Lake Huron,2,100.0,0.993996833321449
Lake Huron,Lake Michigan,Lake Michigan,Lake Huron,2,120.0,0.9947431107843034
Lake Huron,Lake Michigan,Lake Michigan,Lake Huron,2,140.0,0.9950931394066791
Lake Huron,Lake Michigan,Lake Michigan,Lake Huron,2,160.0,0.9954554832433742
Lake Huron,Lake Michigan,Lake Michigan,Lake Huron,2,180.0,0.9955829406721302
Lake Huron,Lake Michigan,Lake Michigan,Lake Huron,2,200.0,0.9957394690853008
Lake Huron,Lake Michigan,Lake Michigan,Lake Huron,2,220.0,0.9958111462246793
Lake Huron,Lake Michigan,Lake Huron,Lake Michigan,2,20.0,0.9851359008369766
Lake Huron,Lake Michigan,Lake Huron,Lake Michigan,2,40.0,0.9903887088849481
Lake Huron,Lake Michigan,Lake Huron,Lake Michigan,2,60.0,0.9954843808181216
Lake Huron,Lake Michigan,Lake Huron,Lake Michigan,2,80.0,0.9961473718166362
Lake Huron,Lake Michigan,Lake Huron,Lake Michigan,2,100.0,0.9963578049426733
Lake Huron,Lake Michigan,Lake Huron,Lake Michigan,2,120.0,0.9968162225864436
Lake Huron,Lake Michigan,Lake Huron,Lake Michigan,2,140.0,0.9969601759188684
Lake Huron,Lake Michigan,Lake Huron,Lake Michigan,2,160.0,0.9971293228102358
Lake Huron,Lake Michigan,Lake Huron,Lake Michigan,2,180.0,0.9972322540705797
Lake Huron,Lake Michigan,Lake Huron,Lake Michigan,2,200.0,0.9973329836176325
