Lake 1,Lake 2,E,Direction 1,Direction 1 final rho,Direction 1 late–early gain,Direction 2,Direction 2 final rho,Direction 2 late–early gain,Mean final rho,Mean late–early gain,Final rho asymmetry
Lake Michigan,Red Lake,2,Red Lake → Lake Michigan,0.4701315170411468,0.06050361250208153,Lake Michigan → Red Lake,0.40854155365191647,0.11393556778760983,0.4393365353465316,0.08721959014484568,0.06158996338923034
Lake Michigan,Lake Tahoe,2,Lake Tahoe → Lake Michigan,0.1153137709706605,-0.06546417618263334,Lake Michigan → Lake Tahoe,0.23343225572461007,0.029035066631196843,0.17437301334763528,-0.018214554775718247,0.11811848475394957
Lake Erie,Lake Ontario,3,Lake Ontario → Lake Erie,0.6512392476882674,0.057446096975347305,Lake Erie → Lake Ontario,0.6304715538232929,0.06668211482678987,0.6408554007557801,0.06206410590106859,0.020767693864974457
Lake Erie,Lake Woods,3,Lake Woods → Lake Erie,0.13503010768024562,0.04044155567309689,Lake Erie → Lake Woods,0.2255502681616341,0.07485218431724616,0.18029018792093987,0.057646869995171525,0.09052016048138847
Lake Erie,Great Salt Lake,3,Great Salt Lake → Lake Erie,0.3380701875344373,-0.0013829883751622085,Lake Erie → Great Salt Lake,0.28746986510904493,0.04525998689586039,0.3127700263217411,0.02193849926034909,0.05060032242539236
Lake Erie,Lake Champlain,3,Lake Champlain → Lake Erie,0.4756096776636056,0.0781678352868696,Lake Erie → Lake Champlain,0.141295063906869,0.022705122479372203,0.3084523707852373,0.0504364788831209,0.33431461375673666
Lake Erie,Red Lake,3,Red Lake → Lake Erie,0.33392404486784544,0.07404471351438832,Lake Erie → Red Lake,0.43168587548955717,0.12441506701621452,0.3828049601787013,0.09922989026530142,0.09776183062171173
Lake Erie,Lake Tahoe,3,Lake Tahoe → Lake Erie,0.22420005660313577,0.005964976337872602,Lake Erie → Lake Tahoe,0.2579068406441649,0.025355528676775235,0.24105344862365036,0.01566025250732392,0.03370678404102914
Lake Ontario,Lake Woods,3,Lake Woods → Lake Ontario,0.5131486999151628,0.10743510631954745,Lake Ontario → Lake Woods,0.42838327159349693,0.06472660656191648,0.4707659857543298,0.08608085644073196,0.08476542832166584
Lake Ontario,Great Salt Lake,3,Great Salt Lake → Lake Ontario,0.05775457313697886,0.015107974033945794,Lake Ontario → Great Salt Lake,0.34740035476229514,0.13665757744499638,0.202577463949637,0.07588277573947108,0.2896457816253163
Lake Ontario,Lake Champlain,3,Lake Champlain → Lake Ontario,0.5996474498326658,0.043836394167364845,Lake Ontario → Lake Champlain,0.4948602334716689,-0.023070802392311796,0.5472538416521674,0.010382795887526525,0.10478721636099692
Lake Ontario,Red Lake,3,Red Lake → Lake Ontario,0.2816105736874476,0.012550249191752072,Lake Ontario → Red Lake,0.43851838965688417,0.13686921792772427,0.36006448167216587,0.07470973355973817,0.1569078159694366
Lake Ontario,Lake Tahoe,3,Lake Tahoe → Lake Ontario,0.2567377028116992,0.0027714962507017216,Lake Ontario → Lake Tahoe,0.46992364188595975,0.06017719256344356,0.3633306723488295,0.03147434440707264,0.21318593907426053
Lake Woods,Great Salt Lake,2,Great Salt Lake → Lake Woods,0.3089489851581302,0.16178751197556543,Lake Woods → Great Salt Lake,0.3262394458267914,0.12142886339755243,0.3175942154924608,0.14160818768655892,0.01729046066866119
Lake Woods,Lake Champlain,3,Lake Champlain → Lake Woods,0.35080728719936355,0.06671420892417285,Lake Woods → Lake Champlain,0.2025295873509866,0.047115362499486196,0.2766684372751751,0.05691478571182952,0.14827769984837694
Lake Woods,Red Lake,2,Red Lake → Lake Woods,0.2895420779498191,0.07706556739574902,Lake Woods → Red Lake,0.23989603269100623,-0.017093407588855997,0.2647190553204127,0.02998607990344651,0.04964604525881289
Lake Woods,Lake Tahoe,2,Lake Tahoe → Lake Woods,-0.05101392573552299,-0.015889018665624116,Lake Woods → Lake Tahoe,0.35194327271541814,0.12459306188964633,0.15046467348994758,0.05435202161201111,0.40295719845094113
Great Salt Lake,Lake Champlain,3,Lake Champlain → Great Salt Lake,0.46066366696667194,0.09862921159247395,Great Salt Lake → Lake Champlain,0.2792552291597613,-0.00524634423734216,0.3699594480632166,0.0466914336775659,0.18140843780691063
Great Salt Lake,Red Lake,2,Red Lake → Great Salt Lake,0.18475819709503813,0.056622334482174214,Great Salt Lake → Red Lake,0.108771166549719,0.04830279070823779,0.14676468182237856,0.052462562595206,0.07598703054531913
Great Salt Lake,Lake Tahoe,2,Lake Tahoe → Great Salt Lake,0.21962467464146554,0.010501938921711668,Great Salt Lake → Lake Tahoe,0.12214771155642708,-0.013401101477157076,0.17088619309894632,-0.0014495812777227043,0.09747696308503846
Lake Champlain,Red Lake,3,Red Lake → Lake Champlain,0.24662520007775202,0.0321810067880621,Lake Champlain → Red Lake,0.4490553304011537,0.1148715193164459,0.3478402652394529,0.073526263052254,0.20243013032340168
Lake Champlain,Lake Tahoe,3,Lake Tahoe → Lake Champlain,0.083900075887001,-0.05636967346458331,Lake Champlain → Lake Tahoe,0.5600678793108141,0.19958050121604953,0.32198397759890757,0.0716054138757331,0.47616780342381315
Red Lake,Lake Tahoe,2,Lake Tahoe → Red Lake,0.15089865778794015,0.07024976415727055,Red Lake → Lake Tahoe,0.1365509736281536,0.05039904662782203,0.14372481570804688,0.06032440539254629,0.014347684159786545
