Lake 1,Lake 2,Manifold Lake,Estimated Lake,CCM From,CCM To,CCM Direction,Raw Direction,E,Start rho,Final rho,Rho gain,Early mean rho,Late mean rho,Late–early rho gain
Lake Erie,Great Salt Lake,Lake Erie,Great Salt Lake,Great Salt Lake,Lake Erie,Great Salt Lake → Lake Erie,lake_1:lake_2,3,0.36510580132358217,0.3380701875344373,-0.027035613789144874,0.3400806459628838,0.3386976575877216,-0.0013829883751622085
Lake Erie,Great Salt Lake,Great Salt Lake,Lake Erie,Lake Erie,Great Salt Lake,Lake Erie → Great Salt Lake,lake_2:lake_1,3,0.2327773044777229,0.28746986510904493,0.054692560631322024,0.2460888262581218,0.2913488131539822,0.04525998689586039
Lake Erie,Lake Champlain,Lake Erie,Lake Champlain,Lake Champlain,Lake Erie,Lake Champlain → Lake Erie,lake_1:lake_2,3,0.34205933089420026,0.4756096776636056,0.13355034676940536,0.39276722849192924,0.47093506377879885,0.0781678352868696
Lake Erie,Lake Champlain,Lake Champlain,Lake Erie,Lake Erie,Lake Champlain,Lake Erie → Lake Champlain,lake_2:lake_1,3,0.10843647371502171,0.141295063906869,0.03285859019184728,0.11848926683351257,0.14119438931288478,0.022705122479372203
Lake Erie,Red Lake,Lake Erie,Red Lake,Red Lake,Lake Erie,Red Lake → Lake Erie,lake_1:lake_2,3,0.2133777077533347,0.33392404486784544,0.12054633711451074,0.24909412752656754,0.32313884104095586,0.07404471351438832
Lake Erie,Red Lake,Red Lake,Lake Erie,Lake Erie,Red Lake,Lake Erie → Red Lake,lake_2:lake_1,3,0.2541140698988934,0.43168587548955717,0.17757180559066377,0.30288318081642246,0.427298247832637,0.12441506701621452
Lake Erie,Lake Tahoe,Lake Erie,Lake Tahoe,Lake Tahoe,Lake Erie,Lake Tahoe → Lake Erie,lake_1:lake_2,3,0.2204967412159815,0.22420005660313577,0.0037033153871542657,0.21761094291238592,0.22357591925025852,0.005964976337872602
Lake Erie,Lake Tahoe,Lake Tahoe,Lake Erie,Lake Erie,Lake Tahoe,Lake Erie → Lake Tahoe,lake_2:lake_1,3,0.23282853583407484,0.2579068406441649,0.025078304810090074,0.2333505759392285,0.25870610461600374,0.025355528676775235
Lake Ontario,Lake Woods,Lake Ontario,Lake Woods,Lake Woods,Lake Ontario,Lake Woods → Lake Ontario,lake_1:lake_2,3,0.35804501350865925,0.5131486999151628,0.15510368640650352,0.39854383431428264,0.5059789406338301,0.10743510631954745
Lake Ontario,Lake Woods,Lake Woods,Lake Ontario,Lake Ontario,Lake Woods,Lake Ontario → Lake Woods,lake_2:lake_1,3,0.3395502616058335,0.42838327159349693,0.08883300998766341,0.36467729310988517,0.42940389967180165,0.06472660656191648
Lake Ontario,Great Salt Lake,Lake Ontario,Great Salt Lake,Great Salt Lake,Lake Ontario,Great Salt Lake → Lake Ontario,lake_1:lake_2,3,0.029800286036773392,0.05775457313697886,0.02795428710020547,0.04619575006076395,0.061303724094709744,0.015107974033945794
Lake Ontario,Great Salt Lake,Great Salt Lake,Lake Ontario,Lake Ontario,Great Salt Lake,Lake Ontario → Great Salt Lake,lake_2:lake_1,3,0.14055533851111274,0.34740035476229514,0.2068450162511824,0.20016924823997403,0.3368268256849704,0.13665757744499638
Lake Ontario,Lake Champlain,Lake Ontario,Lake Champlain,Lake Champlain,Lake Ontario,Lake Champlain → Lake Ontario,lake_1:lake_2,3,0.5368182522931632,0.5996474498326658,0.06282919753950267,0.5520115566235304,0.5958479507908953,0.043836394167364845
Lake Ontario,Lake Champlain,Lake Champlain,Lake Ontario,Lake Ontario,Lake Champlain,Lake Ontario → Lake Champlain,lake_2:lake_1,3,0.519938288549438,0.4948602334716689,-0.025078055077769112,0.5182817372225583,0.49521093483024653,-0.023070802392311796
Lake Ontario,Red Lake,Lake Ontario,Red Lake,Red Lake,Lake Ontario,Red Lake → Lake Ontario,lake_1:lake_2,3,0.21850308064604068,0.2816105736874476,0.06310749304140689,0.2636628960331095,0.27621314522486157,0.012550249191752072
Lake Ontario,Red Lake,Red Lake,Lake Ontario,Lake Ontario,Red Lake,Lake Ontario → Red Lake,lake_2:lake_1,3,0.22340971035348328,0.43851838965688417,0.21510867930340088,0.29709189849080186,0.43396111641852614,0.13686921792772427
Lake Ontario,Lake Tahoe,Lake Ontario,Lake Tahoe,Lake Tahoe,Lake Ontario,Lake Tahoe → Lake Ontario,lake_1:lake_2,3,0.2532746078966723,0.2567377028116992,0.003463094915026943,0.2600623157295621,0.26283381198026384,0.0027714962507017216
Lake Ontario,Lake Tahoe,Lake Tahoe,Lake Ontario,Lake Ontario,Lake Tahoe,Lake Ontario → Lake Tahoe,lake_2:lake_1,3,0.37285951501548403,0.46992364188595975,0.09706412687047572,0.40694699464302886,0.4671241872064724,0.06017719256344356
Lake Woods,Great Salt Lake,Lake Woods,Great Salt Lake,Great Salt Lake,Lake Woods,Great Salt Lake → Lake Woods,lake_1:lake_2,2,0.08031260317490026,0.3089489851581302,0.22863638198322994,0.1436228988842481,0.3054104108598135,0.16178751197556543
Lake Woods,Great Salt Lake,Great Salt Lake,Lake Woods,Lake Woods,Great Salt Lake,Lake Woods → Great Salt Lake,lake_2:lake_1,2,0.15619341151771188,0.3262394458267914,0.1700460343090795,0.20625759478050032,0.32768645817805275,0.12142886339755243
Lake Woods,Lake Champlain,Lake Woods,Lake Champlain,Lake Champlain,Lake Woods,Lake Champlain → Lake Woods,lake_1:lake_2,3,0.26783614355117635,0.35080728719936355,0.0829711436481872,0.2822935560277006,0.34900776495187347,0.06671420892417285
Lake Woods,Lake Champlain,Lake Champlain,Lake Woods,Lake Woods,Lake Champlain,Lake Woods → Lake Champlain,lake_2:lake_1,3,0.11892618352877696,0.2025295873509866,0.08360340382220965,0.16271755857866724,0.20983292107815343,0.047115362499486196
Lake Woods,Red Lake,Lake Woods,Red Lake,Red Lake,Lake Woods,Red Lake → Lake Woods,lake_1:lake_2,2,0.14268082464318355,0.2895420779498191,0.14686125330663558,0.21106235949813493,0.28812792689388395,0.07706556739574902
Lake Woods,Red Lake,Red Lake,Lake Woods,Lake Woods,Red Lake,Lake Woods → Red Lake,lake_2:lake_1,2,0.21665576491945432,0.23989603269100623,0.023240267771551915,0.26159583313322926,0.24450242554437326,-0.017093407588855997
Lake Woods,Lake Tahoe,Lake Woods,Lake Tahoe,Lake Tahoe,Lake Woods,Lake Tahoe → Lake Woods,lake_1:lake_2,2,-0.02126185528041343,-0.05101392573552299,-0.02975207045510956,-0.03822636857095329,-0.054115387236577404,-0.015889018665624116
Lake Woods,Lake Tahoe,Lake Tahoe,Lake Woods,Lake Woods,Lake Tahoe,Lake Woods → Lake Tahoe,lake_2:lake_1,2,0.15261848523593044,0.35194327271541814,0.1993247874794877,0.2181682326083906,0.34276129449803694,0.12459306188964633
Great Salt Lake,Lake Champlain,Great Salt Lake,Lake Champlain,Lake Champlain,Great Salt Lake,Lake Champlain → Great Salt Lake,lake_1:lake_2,3,0.3317018822096044,0.46066366696667194,0.12896178475706754,0.35316456074903596,0.4517937723415099,0.09862921159247395
Great Salt Lake,Lake Champlain,Lake Champlain,Great Salt Lake,Great Salt Lake,Lake Champlain,Great Salt Lake → Lake Champlain,lake_2:lake_1,3,0.25667859605364207,0.2792552291597613,0.022576633106119237,0.28660450721008063,0.28135816297273847,-0.00524634423734216
Great Salt Lake,Red Lake,Great Salt Lake,Red Lake,Red Lake,Great Salt Lake,Red Lake → Great Salt Lake,lake_1:lake_2,2,0.0972502606663653,0.18475819709503813,0.08750793642867283,0.13334852639084938,0.1899708608730236,0.056622334482174214
Great Salt Lake,Red Lake,Red Lake,Great Salt Lake,Great Salt Lake,Red Lake,Great Salt Lake → Red Lake,lake_2:lake_1,2,0.041506088710879914,0.108771166549719,0.06726507783883909,0.05086052815102509,0.09916331885926288,0.04830279070823779
Great Salt Lake,Lake Tahoe,Great Salt Lake,Lake Tahoe,Lake Tahoe,Great Salt Lake,Lake Tahoe → Great Salt Lake,lake_1:lake_2,2,0.16293103936633024,0.21962467464146554,0.056693635275135296,0.21775200195559855,0.2282539408773102,0.010501938921711668
Great Salt Lake,Lake Tahoe,Lake Tahoe,Great Salt Lake,Great Salt Lake,Lake Tahoe,Great Salt Lake → Lake Tahoe,lake_2:lake_1,2,0.1500329079764118,0.12214771155642708,-0.02788519641998473,0.13485916686073843,0.12145806538358135,-0.013401101477157076
Lake Champlain,Red Lake,Lake Champlain,Red Lake,Red Lake,Lake Champlain,Red Lake → Lake Champlain,lake_1:lake_2,3,0.21323000841224826,0.24662520007775202,0.033395191665503754,0.21533644943205424,0.24751745622011634,0.0321810067880621
Lake Champlain,Red Lake,Red Lake,Lake Champlain,Lake Champlain,Red Lake,Lake Champlain → Red Lake,lake_2:lake_1,3,0.2754092145917873,0.4490553304011537,0.1736461158093664,0.3260977698360849,0.4409692891525308,0.1148715193164459
Lake Champlain,Lake Tahoe,Lake Champlain,Lake Tahoe,Lake Tahoe,Lake Champlain,Lake Tahoe → Lake Champlain,lake_1:lake_2,3,0.16505533857812607,0.083900075887001,-0.08115526269112507,0.14125526476743264,0.08488559130284933,-0.05636967346458331
Lake Champlain,Lake Tahoe,Lake Tahoe,Lake Champlain,Lake Champlain,Lake Tahoe,Lake Champlain → Lake Tahoe,lake_2:lake_1,3,0.25403871591732585,0.5600678793108141,0.3060291633934883,0.3445554907983124,0.5441359920143619,0.19958050121604953
Red Lake,Lake Tahoe,Red Lake,Lake Tahoe,Lake Tahoe,Red Lake,Lake Tahoe → Red Lake,lake_1:lake_2,2,0.07132309979482769,0.15089865778794015,0.07957555799311246,0.0821560021359029,0.15240576629317346,0.07024976415727055
Red Lake,Lake Tahoe,Lake Tahoe,Red Lake,Red Lake,Lake Tahoe,Red Lake → Lake Tahoe,lake_2:lake_1,2,0.03315108908514911,0.1365509736281536,0.1033998845430045,0.0765444755508141,0.12694352217863614,0.05039904662782203
